,year,D
0,1997,3.1742193165893644
1,1998,2.9911569764745165
2,1999,2.951359782872331
3,2000,2.8532749333232177
4,2001,2.8289777420503515
5,2002,2.8586980909069353
6,2003,2.8307473159474847
7,2004,2.838229382746347
8,2005,2.7795694554048005
9,2006,3.006340410313321
10,2007,2.952159864607824
11,2008,2.833886501572369
12,2009,2.680839662629106
13,2010,2.6703706517666834
14,2011,2.641441201190065
15,2012,2.630674109172936
16,2013,2.6153756293403947
17,2014,2.556690085312093
18,2015,2.5678750369843026
19,2016,2.5894281845527973
20,2017,2.628242603318323
