,year,D
0,1997,1.6542771322140029
1,1998,1.6199597166550914
2,1999,1.6239849765779135
3,2000,1.6124571409390809
4,2001,1.6047047793038949
5,2002,1.6026689646042918
6,2003,1.606018335849203
7,2004,1.6114778238563061
8,2005,1.6076893901168252
9,2006,1.67741240675728
10,2007,1.6703636999552676
11,2008,1.6286719218906778
12,2009,1.5645616636555402
13,2010,1.5627850570901083
14,2011,1.559537299616916
15,2012,1.5639395740431803
16,2013,1.5648522227317772
17,2014,1.5654510213124333
18,2015,1.5751434519107754
19,2016,1.5920572363848562
20,2017,1.6011448085476363
